Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
11:55:33:31.630,61,0.0000000000,0.0000000000,0.1146942005,0.0000000000,0.1835384071,0.1023329273,0.1436513811,0.0000000000,0.0000000000,0.0000000000,0.0008300483,0.1839652658,0.1023236066,0.1433093697,0.0213199798,0.0000000000,0.0062503857,0.0591445379,0.0700622872,0.0327905416,0.0549822785,0.0000000000,0.0216763206,0.0000000000,0.0000000000,0.0749169663,0.0502688065,0.0133069269,0.0142437881,0.0650173426,0.0709705353,0.0358952060,0.0313991271,0.0453777947,0.0223220512,0.0145338234,0.0152458316,0.0348509848,0.0338856690,0.0049283216,0.0055703265,0.0086869728,0.0087058153,0.0455230549,0.0000000000,0.0000000000,0.0129239811,0.0377438590,0.0420787707,0.0258030593,0.0303310212,0.0000000005,-0.1178495511,-0.0414024442,-1.6259845495,0.0005054150,-0.0802699849,-0.0000406570,0.0698377937,-0.0802798495,-0.0056140181
11:55:33:32.632,61,0.0000000000,0.0000000000,0.1137999296,0.0000000000,0.1846747249,0.1025350913,0.1428762376,0.0000000000,0.0000000000,0.0000656383,0.0000000000,0.1850973666,0.1025227904,0.1425249130,0.0214876104,0.0000000000,0.0073002651,0.0606184006,0.0715922266,0.0330255143,0.0562166311,0.0000000000,0.0217988249,0.0000000000,0.0000000000,0.0770249814,0.0531154461,0.0131469509,0.0140759442,0.0650976226,0.0713543072,0.0362530276,0.0314723700,0.0455954745,0.0223919880,0.0144455591,0.0151423626,0.0348052830,0.0338958167,0.0049165851,0.0055563408,0.0087216655,0.0087419022,0.0456468128,0.0000000000,0.0000000000,0.0129103344,0.0376917422,0.0419591740,0.0258667655,0.0304009970,0.0000000004,-0.1169632152,-0.0408062227,-1.6267107725,-0.0000399655,-0.0807639733,0.0000032348,0.0692904890,-0.0807737932,-0.0056045139
11:55:33:33.633,61,0.0000000000,0.0000000000,0.1201739460,0.0000000000,0.1889633536,0.1025648341,0.1422792822,0.0000000000,0.0000000000,0.0000000000,0.0064349584,0.1894474328,0.1025508940,0.1419191509,0.0215239879,0.0000000000,0.0079341652,0.0611895397,0.0721930861,0.0331637226,0.0568217561,0.0000000000,0.0218054317,0.0000000000,0.0000000000,0.0777505115,0.0541798845,0.0129844947,0.0139013296,0.0651869401,0.0717074275,0.0364177786,0.0313699879,0.0458554886,0.0225129202,0.0143667618,0.0150506115,0.0346566625,0.0337909795,0.0049174009,0.0055540400,0.0086319558,0.0086562568,0.0457459576,0.0000000000,0.0000000000,0.0128554069,0.0376133770,0.0418269299,0.0259405617,0.0304751080,0.0000000004,-0.1164056286,-0.0417256169,-1.6273241043,0.0039174710,-0.0826626793,-0.0003245674,0.0731602609,-0.0826724768,-0.0060566766
11:55:33:34.635,61,0.0000000000,0.0000000000,0.1285466105,0.0000000000,0.1944404244,0.1025031507,0.1423206627,0.0000000000,0.0000000000,0.0000000000,0.0150359925,0.1950079799,0.1024880260,0.1419522911,0.0214626305,0.0000000000,0.0083618611,0.0614259131,0.0724498630,0.0331455357,0.0571363829,0.0000000000,0.0216506142,0.0000000000,0.0000000000,0.0756789818,0.0527112819,0.0128272641,0.0137292966,0.0651628003,0.0718555599,0.0364422612,0.0312178191,0.0459495783,0.0225519873,0.0142783485,0.0149520915,0.0344939642,0.0336385407,0.0049102036,0.0055404757,0.0085132523,0.0085416418,0.0457296297,0.0000000000,0.0000000000,0.0127691608,0.0375015624,0.0416441783,0.0259830616,0.0305126421,0.0000000005,-0.1136787385,-0.0432623066,-1.6284605265,0.0091517353,-0.0850918591,-0.0007806121,0.0782416314,-0.0851016268,-0.0066677043
11:55:33:35.637,61,0.0000000000,0.0000000000,0.1280612350,0.0000000000,0.1852077097,0.1001915932,0.1409806907,0.0000000000,0.0000000000,0.0000000000,0.0144327590,0.1857436299,0.1001749858,0.1406180859,0.0212582611,0.0000000000,0.0087475069,0.0613252148,0.0723417252,0.0330717303,0.0576046146,0.0000000000,0.0214586463,0.0000000000,0.0000000000,0.0654670447,0.0476367809,0.0126472702,0.0135323731,0.0647960529,0.0716092736,0.0362299085,0.0309208836,0.0460763723,0.0226344578,0.0141963633,0.0148614068,0.0341723189,0.0333279781,0.0049147112,0.0055373418,0.0080709625,0.0081008477,0.0455997586,0.0000000000,0.0000000000,0.0126827732,0.0372364894,0.0412785225,0.0260127820,0.0305298679,0.0000000012,-0.1110511422,-0.0451405719,-1.6289690733,0.0087875295,-0.0810490847,-0.0007137756,0.0779723302,-0.0810589194,-0.0063277311
11:55:33:36.638,61,0.0000000000,0.0000000000,0.1283358186,0.0000000000,0.1814803183,0.0987410396,0.1357321590,0.0000000000,0.0000000000,0.0000000000,0.0146981282,0.1820071936,0.0987221226,0.1353841126,0.0211115088,0.0000000000,0.0091990028,0.0612923242,0.0723506287,0.0331007652,0.0580210350,0.0000000000,0.0212429203,0.0000000000,0.0000000000,0.0625170395,0.0461361594,0.0125019411,0.0133721652,0.0645656064,0.0715069026,0.0361029729,0.0307148453,0.0461341366,0.0226637088,0.0141432527,0.0148015814,0.0340037048,0.0331573375,0.0049225790,0.0055397050,0.0077783028,0.0078094518,0.0454857685,0.0000000000,0.0000000000,0.0125983637,0.0370312631,0.0409725122,0.0260924641,0.0306165069,0.0000000019,-0.1068890467,-0.0464803688,-1.6315838099,0.0089502772,-0.0794188082,-0.0007123089,0.0781497434,-0.0794286579,-0.0062140063
11:55:33:37.640,61,0.0000000000,0.0000000000,0.1303673089,0.0000000000,0.1806955487,0.0979758203,0.1339914948,0.0000000000,0.0000000000,0.0000000000,0.0166615583,0.1812357306,0.0979557931,0.1336496174,0.0210383572,0.0000000000,0.0095313936,0.0615987256,0.0727119669,0.0332563296,0.0594527051,0.0000000000,0.0210398063,0.0000000000,0.0000000000,0.0607801788,0.0451027192,0.0123947710,0.0132550048,0.0643966645,0.0714423135,0.0360757932,0.0306636412,0.0461716317,0.0226479769,0.0141055789,0.0147583866,0.0339526907,0.0330951400,0.0049257251,0.0055373707,0.0078735752,0.0079051955,0.0454261899,0.0000000000,0.0000000000,0.0125431102,0.0369039141,0.0407446250,0.0261818729,0.0307171904,0.0000000028,-0.1049701348,-0.0473476984,-1.6329196692,0.0101461606,-0.0790830702,-0.0008040526,0.0793889463,-0.0790929198,-0.0062855403
11:55:33:38.642,61,0.0000000000,0.0000000000,0.1328507364,0.0000000000,0.1732713580,0.0972657129,0.1319774538,0.0000000000,0.0000000000,0.0000000000,0.0190543700,0.1738068908,0.0972445607,0.1316257715,0.0210157968,0.0000000000,0.0100299558,0.0620382428,0.0731987506,0.0334849693,0.0613395609,0.0000000000,0.0207570717,0.0000000000,0.0000000000,0.0622713752,0.0485399924,0.0122763747,0.0131176831,0.0642654300,0.0714439154,0.0360822119,0.0306270048,0.0462457277,0.0226424132,0.0140520204,0.0146937026,0.0338673480,0.0329921730,0.0049308385,0.0055355555,0.0081651006,0.0081989560,0.0453194901,0.0000000000,0.0000000000,0.0125071434,0.0367797874,0.0405051038,0.0263063647,0.0308602676,0.0000000031,-0.1048438400,-0.0470131598,-1.6346828938,0.0116061969,-0.0758426785,-0.0008819166,0.0809215754,-0.0758525655,-0.0061431220
11:55:33:39.643,61,0.0000000000,0.0000000000,0.1302614659,0.0000000000,0.1671101153,0.0961008742,0.1300260574,0.0000000000,0.0000000000,0.0000000000,0.0164221358,0.1676074564,0.0960765108,0.1296712905,0.0209797826,0.0000000000,0.0105939638,0.0622494705,0.0734205544,0.0335821882,0.0621546023,0.0000000000,0.0205055289,0.0000000000,0.0000000000,0.0638702065,0.0507005937,0.0121475887,0.0129703451,0.0640861392,0.0713935196,0.0360997245,0.0305468701,0.0463270806,0.0226577092,0.0140012894,0.0146339023,0.0337352343,0.0328455642,0.0049398993,0.0055391919,0.0082615111,0.0082969740,0.0451892950,0.0000000000,0.0000000000,0.0124518787,0.0366546437,0.0402657539,0.0264453515,0.0310210567,0.0000000027,-0.1034122556,-0.0467355773,-1.6370171309,0.0100048976,-0.0731362104,-0.0007330154,0.0793603212,-0.0731461570,-0.0058091101
11:55:33:40.645,61,0.0000000000,0.0000000000,0.1333944947,0.0000000000,0.1657588035,0.0941800326,0.1292534322,0.0000000000,0.0000000000,0.0000000000,0.0196064916,0.1662740111,0.0941529945,0.1288955361,0.0209546555,0.0000000000,0.0111638382,0.0624963120,0.0736069083,0.0336142443,0.0628650486,0.0000000000,0.0203218088,0.0000000000,0.0000000000,0.0658285245,0.0528379530,0.0120267933,0.0128317578,0.0637370348,0.0711565390,0.0361541025,0.0305378623,0.0463990420,0.0226640012,0.0139505900,0.0145746684,0.0335393846,0.0326352082,0.0049361000,0.0055301385,0.0081409318,0.0081776073,0.0449741259,0.0000000000,0.0000000000,0.0124335559,0.0364688523,0.0399633236,0.0265411735,0.0311380345,0.0000000021,-0.1036650315,-0.0462602042,-1.6377916336,0.0119454153,-0.0725559071,-0.0008682137,0.0812725574,-0.0725658685,-0.0059014172
